Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787000000000001,0.0,0.0,0.0,0.0,0.0
2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,0.0,0.0,0.0,0.0,0.0
2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,0.0,0.0,0.0,0.0,0.0
2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,0.0,0.0,0.0,0.0,0.0
2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.786999999999999,0.0,0.0,0.0,0.0,0.0
2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,0.0,0.0,0.0,0.0,0.0
2010-10-08,1508239.93,0,63.93000000000001,2.633,211.7467544,7.838,0.0,0.0,0.0,0.0,0.0
2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,0.0,0.0,0.0,0.0,0.0
2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,0.0,0.0,0.0,0.0,0.0
2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,0.0,0.0,0.0,0.0,0.0
2010-11-05,1551659.28,0,58.739999999999995,2.689,211.9563939,7.838,0.0,0.0,0.0,0.0,0.0
2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,0.0,0.0,0.0,0.0,0.0
2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,0.0,0.0,0.0,0.0,0.0
2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,0.0,0.0,0.0,0.0,0.0
2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838000000000001,0.0,0.0,0.0,0.0,0.0
2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838000000000001,0.0,0.0,0.0,0.0,0.0
2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,0.0,0.0,0.0,0.0,0.0
2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,0.0,0.0,0.0,0.0,0.0
2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838000000000001,0.0,0.0,0.0,0.0,0.0
2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,0.0,0.0,0.0,0.0,0.0
2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,0.0,0.0,0.0,0.0,0.0
2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,0.0,0.0,0.0,0.0,0.0
2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,0.0,0.0,0.0,0.0,0.0
2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,0.0,0.0,0.0,0.0,0.0
2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,0.0,0.0,0.0,0.0,0.0
2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,0.0,0.0,0.0,0.0,0.0
2011-02-25,1456800.28,0,62.900000000000006,3.065,213.535609,7.742,0.0,0.0,0.0,0.0,0.0
2011-03-04,1636263.41,0,59.580000000000005,3.288,213.8233327,7.742000000000001,0.0,0.0,0.0,0.0,0.0
2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,0.0,0.0,0.0,0.0,0.0
2011-03-18,1576818.06,0,62.760000000000005,3.488,214.3627114,7.742,0.0,0.0,0.0,0.0,0.0
2011-03-25,1541102.3800000001,0,69.97,3.473,214.5999389,7.742,0.0,0.0,0.0,0.0,0.0
2011-04-01,1495064.75,0,59.169999999999995,3.524,214.8371664,7.682,0.0,0.0,0.0,0.0,0.0
2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,0.0,0.0,0.0,0.0,0.0
2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,0.0,0.0,0.0,0.0,0.0
2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,0.0,0.0,0.0,0.0,0.0
2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,0.0,0.0,0.0,0.0,0.0
2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,0.0,0.0,0.0,0.0,0.0
2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,0.0,0.0,0.0,0.0,0.0
2011-05-20,1428218.27,0,67.63,3.9069999999999996,215.7339202,7.682,0.0,0.0,0.0,0.0,0.0
2011-05-27,1466046.67,0,77.72,3.7859999999999996,215.5037878,7.682,0.0,0.0,0.0,0.0,0.0
2011-06-03,1635078.41,0,83.0,3.6990000000000003,215.2736553,7.682,0.0,0.0,0.0,0.0,0.0
2011-06-10,1588948.32,0,83.13,3.6479999999999997,215.0435229,7.682,0.0,0.0,0.0,0.0,0.0
2011-06-17,1532114.86,0,86.41,3.6369999999999996,214.9980596,7.682,0.0,0.0,0.0,0.0,0.0
2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,0.0,0.0,0.0,0.0,0.0
2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.961999999999999,0.0,0.0,0.0,0.0,0.0
2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962000000000001,0.0,0.0,0.0,0.0,0.0
2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962000000000001,0.0,0.0,0.0,0.0,0.0
2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.961999999999999,0.0,0.0,0.0,0.0,0.0
2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.961999999999999,0.0,0.0,0.0,0.0,0.0
2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962000000000001,0.0,0.0,0.0,0.0,0.0
2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962000000000001,0.0,0.0,0.0,0.0,0.0
2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,0.0,0.0,0.0,0.0,0.0
2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,0.0,0.0,0.0,0.0,0.0
2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,0.0,0.0,0.0,0.0,0.0
2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,0.0,0.0,0.0,0.0,0.0
2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962000000000001,0.0,0.0,0.0,0.0,0.0
2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,0.0,0.0,0.0,0.0,0.0
2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,0.0,0.0,0.0,0.0,0.0
2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,0.0,0.0,0.0,0.0,0.0
2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,0.0,0.0,0.0,0.0,0.0
2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,0.0,0.0,0.0,0.0,0.0
2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,0.0,0.0,0.0,0.0,0.0
2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,0.0,0.0,0.0,0.0,0.0
2011-11-11,1594938.8900000001,0,59.11,3.297,217.9980849,7.866,10382.9,6115.67,215.07,2406.62,6551.42
2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,6074.12,254.39,51.98,427.39,5988.57
2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,410.31,98.0,55805.51,8.0,554.92
2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,5629.51,68.0,1398.11,2084.64,20475.32
2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,4640.65,19.0,105.02,3639.4200000000005,14461.819999999998
2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,5011.32,67.0,347.37,225.79,4011.3700000000003
2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2725.36,40.48,634.7,24.9,2739.43
2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,5762.1,46011.38,260.36,983.65,4735.78
2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348000000000001,6277.39,21813.16,143.1,1450.13,8483.0
2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,5183.29,8025.87,42.24,453.08,3719.3799999999997
2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,4139.87,2807.19,33.88,500.62,3400.21
2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,1164.46,1082.74,44.0,11.0,1222.19
2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348000000000001,34577.06,3579.21,160.53,32403.870000000003,5630.4
2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,13925.06,6927.23,101.64,8471.88,6886.04
2012-02-17,1819870.0,0,45.32,3.5099999999999993,220.4257586,7.348,9873.33,11062.27,9.8,8409.31,3402.66
2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348000000000001,9349.61,7556.009999999999,3.2,1219.92,8143.59
2012-03-02,1688420.76,0,60.96,3.6300000000000003,220.8480454,7.348000000000001,15441.400000000001,1569.0,10.8,25390.88,8067.609999999999
2012-03-09,1675431.16,0,58.76,3.6690000000000005,221.0591887,7.348,10331.04,151.88,6.0,671.43,5509.84
2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348000000000001,4298.16,7.5,2.02,2724.65,2017.6899999999998
2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,6118.56,9.48,4.97,426.72,3657.22
2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,10309.58,0.5,10.25,1654.17,2642.78
2012-04-06,1899676.8800000001,0,70.43,3.891,221.4356112,7.142999999999999,10121.97,0.0,77.98,3750.5899999999997,4510.72
2012-04-13,1621031.7,0,69.07,3.8910000000000005,221.5102105,7.143,6186.19,3288.69,17.07,1822.55,1063.78
2012-04-20,1521577.8699999999,0,66.76,3.877,221.5640737,7.143,2230.8,612.02,19.75,275.13,5747.1
2012-04-27,1468928.3699999999,0,67.23,3.8139999999999996,221.6179368,7.143,3221.25,0.0,35.49,577.14,6222.25
2012-05-04,1684519.99,0,75.55,3.7490000000000006,221.6718,7.143,21290.13,0.0,69.89,4977.35,3261.04
2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,8351.4,0.0,10.52,2443.14,3127.88
2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,6154.14,0.0,45.11,1675.49,5508.18
2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,4039.39,0.0,745.19,1429.96,3631.13
2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,6086.21,12.0,370.51,148.75,3690.85
2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.142999999999999,8813.81,116.80000000000001,64.55,2652.04,7161.91
2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,5621.99,109.6,0.25,2420.28,3083.26
2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,8624.56,171.25,3.05,2524.07,7063.68
2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,3965.73,161.6,0.0,435.99,4212.97
2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,12218.76,94.4,192.83,4066.01,6149.04
2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,7218.13,45.2,36.24,3909.3799999999997,2596.37
2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,3213.0,313.72,9.53,2262.02,3228.19
2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,7146.9,389.02,1.59,10267.54,4325.19
2012-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,27584.78,119.98,30.23,12007.04,4661.71
2012-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,11436.22,245.0,6.85,6964.26,4836.22
2012-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,3662.06,137.86,4.84,2752.2,3446.15
2012-08-24,1494122.38,0,77.66,3.6199999999999997,222.1719457,6.908,6237.83,260.06,2.97,3463.03,7988.25
2012-08-31,1582083.4,0,80.49,3.638,222.3054805,6.908,21442.73,102.32,21.7,13209.64,3032.96
2012-09-07,1661767.33,1,83.96,3.7300000000000004,222.4390153,6.908,5204.68,35.74,50.94,4120.32,2737.17
2012-09-14,1517428.87,0,74.97,3.7170000000000005,222.5820193,6.908,17212.52,7.0,18.79,1523.11,7992.719999999999
2012-09-21,1506126.06,0,69.87,3.7210000000000005,222.7818386,6.908,6352.3,7.639999999999999,4.69,1010.06,6456.71
2012-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,3666.2700000000004,7.640000000000001,1.65,1417.96,4744.28
2012-10-05,1670785.97,0,68.55,3.6169999999999995,223.1814772,6.573,8077.890000000001,0.0,18.22,3617.43,3626.14
2012-10-12,1573072.81,0,62.99000000000001,3.601,223.3812965,6.573,2086.18,0.0,8.11,602.36,5926.45
2012-10-19,1508068.77,0,67.97,3.594,223.4257233,6.573,950.3300000000002,0.0,4.93,80.25,2312.85
2012-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,2585.85,31.75,6.0,1057.16,1305.01
